Federal organization,Fiscal year,GHG source,GHG scope,Energy use (GJ),Emissions (kt),Energy use category,Data_present
Agriculture and Agri-Food Canada,2005-06,facilities,1,2134,0,Low,True
Agriculture and Agri-Food Canada,2005-06,fleet,1,41332,2,Moderate,True
Agriculture and Agri-Food Canada,2005-06,facilities,2,154568,11,Moderate,True
Agriculture and Agri-Food Canada,2005-06,facilities,2,524494,54,Moderate,True
Agriculture and Agri-Food Canada,2005-06,fleet,1,14431,0,Moderate,True
Agriculture and Agri-Food Canada,2005-06,facilities,1,57820,4,Moderate,True
Agriculture and Agri-Food Canada,2005-06,fleet,1,68145,4,Moderate,True
Agriculture and Agri-Food Canada,2005-06,facilities,1,446241,22,Moderate,True
Agriculture and Agri-Food Canada,2005-06,facilities,1,1769,0,Low,True
Agriculture and Agri-Food Canada,2005-06,fleet,1,68,0,Low,True
Canada Border Services Agency,2005-06,facilities,1,1427,0,Low,True
Canada Border Services Agency,2005-06,fleet,1,5738,0,Low,True
Canada Border Services Agency,2005-06,facilities,2,110717,4,Moderate,True
Canada Border Services Agency,2005-06,fleet,1,865,0,Low,True
Canada Border Services Agency,2005-06,facilities,1,11264,0,Moderate,True
Canada Border Services Agency,2005-06,fleet,1,59515,3,Moderate,True
Canada Border Services Agency,2005-06,facilities,1,52131,2,Moderate,True
Canada Border Services Agency,2005-06,facilities,1,2338,0,Low,True
Canada Revenue Agency,2005-06,fleet,1,925,0,Low,True
Canada Revenue Agency,2005-06,fleet,1,5003,0,Low,True
Canadian Food Inspection Agency,2005-06,facilities,1,686,0,Low,True
Canadian Food Inspection Agency,2005-06,fleet,1,720,0,Low,True
Canadian Food Inspection Agency,2005-06,facilities,2,10285,0,Moderate,True
Canadian Food Inspection Agency,2005-06,facilities,2,117251,14,Moderate,True
Canadian Food Inspection Agency,2005-06,fleet,1,5509,0,Low,True
Canadian Food Inspection Agency,2005-06,facilities,1,2915,0,Low,True
Canadian Food Inspection Agency,2005-06,facilities,1,27248,1,Moderate,True
Canadian Food Inspection Agency,2005-06,fleet,1,89176,5,Moderate,True
Canadian Food Inspection Agency,2005-06,facilities,1,188363,9,Moderate,True
Canadian Food Inspection Agency,2005-06,facilities,1,486,0,Low,True
Canadian Forces Morale and Welfare Services,2005-06,facilities,1,16,0,Low,True
Canadian Forces Morale and Welfare Services,2005-06,facilities,2,29947,1,Moderate,True
Canadian Forces Morale and Welfare Services,2005-06,facilities,1,10502,0,Moderate,True
Canadian Space Agency,2005-06,facilities,1,847,0,Low,True
Canadian Space Agency,2005-06,fleet,1,8,0,Low,True
Canadian Space Agency,2005-06,facilities,2,47992,1,Moderate,True
Canadian Space Agency,2005-06,facilities,1,22271,1,Moderate,True
Canadian Space Agency,2005-06,facilities,1,122,0,Low,True
Canadian Space Agency,2005-06,fleet,1,2,0,Low,True
Correctional Service Canada,2005-06,facilities,1,7344,0,Low,True
Correctional Service Canada,2005-06,fleet,1,0,0,Low,True
Correctional Service Canada,2005-06,fleet,1,3023,0,Low,True
Correctional Service Canada,2005-06,facilities,2,727361,53,Moderate,True
Correctional Service Canada,2005-06,fleet,1,1804,0,Low,True
Correctional Service Canada,2005-06,facilities,1,47272,3,Moderate,True
Correctional Service Canada,2005-06,facilities,1,58983,4,Moderate,True
Correctional Service Canada,2005-06,fleet,1,37334,2,Moderate,True
Correctional Service Canada,2005-06,facilities,1,1538443,75,High,True
Correctional Service Canada,2005-06,facilities,1,10169,0,Moderate,True
Correctional Service Canada,2005-06,fleet,1,1067,0,Low,True
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,fleet,1,130,0,Low,True
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,facilities,2,621,0,Low,True
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,fleet,1,0,0,Low,True
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,facilities,1,2740,0,Low,True
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,fleet,1,1110,0,Low,True
Employment and Social Development Canada,2005-06,fleet,1,207,0,Low,True
Employment and Social Development Canada,2005-06,fleet,1,111,0,Low,True
Employment and Social Development Canada,2005-06,fleet,1,21035,1,Moderate,True
Employment and Social Development Canada,2005-06,fleet,1,2,0,Low,True
Environment and Climate Change Canada,2005-06,fleet,1,755,0,Low,True
Environment and Climate Change Canada,2005-06,fleet,1,1396,0,Low,True
Environment and Climate Change Canada,2005-06,facilities,1,22142,1,Moderate,True
Environment and Climate Change Canada,2005-06,fleet,1,0,0,Low,True
Environment and Climate Change Canada,2005-06,fleet,1,4571,0,Low,True
Environment and Climate Change Canada,2005-06,facilities,2,103747,6,Moderate,True
Environment and Climate Change Canada,2005-06,fleet,1,2646,0,Low,True
Environment and Climate Change Canada,2005-06,facilities,1,1252,0,Low,True
Environment and Climate Change Canada,2005-06,facilities,1,187604,9,Moderate,True
Environment and Climate Change Canada,2005-06,fleet,1,58834,3,Moderate,True
Environment and Climate Change Canada,2005-06,facilities,1,1828,0,Low,True
Environment and Climate Change Canada,2005-06,fleet,1,465,0,Low,True
Fisheries and Oceans Canada,2005-06,facilities,1,47849,3,Moderate,True
Fisheries and Oceans Canada,2005-06,fleet,1,23271,1,Moderate,True
Fisheries and Oceans Canada,2005-06,facilities,2,19917,1,Moderate,True
Fisheries and Oceans Canada,2005-06,facilities,2,342827,24,Moderate,True
Fisheries and Oceans Canada,2005-06,facilities,1,129,0,Low,True
Fisheries and Oceans Canada,2005-06,facilities,1,93477,6,Moderate,True
Fisheries and Oceans Canada,2005-06,facilities,1,72466,3,Moderate,True
Fisheries and Oceans Canada,2005-06,fleet,1,119924,7,Moderate,True
Fisheries and Oceans Canada,2005-06,facilities,1,12732,0,Moderate,True
Fisheries and Oceans Canada,2005-06,fleet,1,279,0,Low,True
Health Canada,2005-06,facilities,1,279,0,Low,True
Health Canada,2005-06,facilities,2,47165,2,Moderate,True
Health Canada,2005-06,facilities,2,10166,0,Moderate,True
Health Canada,2005-06,facilities,2,122923,9,Moderate,True
Health Canada,2005-06,facilities,2,110051,6,Moderate,True
Health Canada,2005-06,facilities,1,36154,1,Moderate,True
Health Canada,2005-06,fleet,1,24031,1,Moderate,True
"Immigration, Refugees and Citizenship Canada",2005-06,fleet,1,1392,0,Low,True
Indigenous Services Canada,2005-06,fleet,1,5,0,Low,True
Indigenous Services Canada,2005-06,facilities,2,16174,0,Moderate,True
Indigenous Services Canada,2005-06,fleet,1,55,0,Low,True
Indigenous Services Canada,2005-06,facilities,1,26,0,Low,True
Indigenous Services Canada,2005-06,facilities,1,65,0,Low,True
Indigenous Services Canada,2005-06,fleet,1,33886,2,Moderate,True
Indigenous Services Canada,2005-06,facilities,1,3,0,Low,True
"Innovation, Science and Economic Development Canada",2005-06,facilities,1,63,0,Low,True
"Innovation, Science and Economic Development Canada",2005-06,fleet,1,0,0,Low,True
"Innovation, Science and Economic Development Canada",2005-06,fleet,1,4205,0,Low,True
"Innovation, Science and Economic Development Canada",2005-06,facilities,2,12689,0,Moderate,True
"Innovation, Science and Economic Development Canada",2005-06,fleet,1,698,0,Low,True
"Innovation, Science and Economic Development Canada",2005-06,facilities,1,2034,0,Low,True
"Innovation, Science and Economic Development Canada",2005-06,facilities,1,3623,0,Low,True
"Innovation, Science and Economic Development Canada",2005-06,fleet,1,21414,1,Moderate,True
"Innovation, Science and Economic Development Canada",2005-06,facilities,1,2,0,Low,True
"Innovation, Science and Economic Development Canada",2005-06,fleet,1,93,0,Low,True
Library and Archives Canada,2005-06,facilities,2,44443,0,Moderate,True
Library and Archives Canada,2005-06,facilities,1,45288,2,Moderate,True
National Battlefields Commission,2005-06,facilities,2,5677,0,Low,True
