Federal organization,Fiscal year,GHG source,GHG scope,Energy use (GJ),Emissions (kt),Energy use category,Data_present
1.0,2005,0,1,2134,0,0,True
1.0,2005,1,1,41332,2,1,True
1.0,2005,0,2,154568,11,1,True
1.0,2005,0,2,524494,54,1,True
1.0,2005,1,1,14431,0,1,True
1.0,2005,0,1,57820,4,1,True
1.0,2005,1,1,68145,4,1,True
1.0,2005,0,1,446241,22,1,True
1.0,2005,0,1,1769,0,0,True
1.0,2005,1,1,68,0,0,True
2.0,2005,0,1,1427,0,0,True
2.0,2005,1,1,5738,0,0,True
2.0,2005,0,2,110717,4,1,True
2.0,2005,1,1,865,0,0,True
2.0,2005,0,1,11264,0,1,True
2.0,2005,1,1,59515,3,1,True
2.0,2005,0,1,52131,2,1,True
2.0,2005,0,1,2338,0,0,True
3.0,2005,1,1,925,0,0,True
3.0,2005,1,1,5003,0,0,True
4.0,2005,0,1,686,0,0,True
4.0,2005,1,1,720,0,0,True
4.0,2005,0,2,10285,0,1,True
4.0,2005,0,2,117251,14,1,True
4.0,2005,1,1,5509,0,0,True
4.0,2005,0,1,2915,0,0,True
4.0,2005,0,1,27248,1,1,True
4.0,2005,1,1,89176,5,1,True
4.0,2005,0,1,188363,9,1,True
4.0,2005,0,1,486,0,0,True
5.0,2005,0,1,16,0,0,True
5.0,2005,0,2,29947,1,1,True
5.0,2005,0,1,10502,0,1,True
6.0,2005,0,1,847,0,0,True
6.0,2005,1,1,8,0,0,True
6.0,2005,0,2,47992,1,1,True
6.0,2005,0,1,22271,1,1,True
6.0,2005,0,1,122,0,0,True
6.0,2005,1,1,2,0,0,True
7.0,2005,0,1,7344,0,0,True
7.0,2005,1,1,0,0,0,True
7.0,2005,1,1,3023,0,0,True
7.0,2005,0,2,727361,53,1,True
7.0,2005,1,1,1804,0,0,True
7.0,2005,0,1,47272,3,1,True
7.0,2005,0,1,58983,4,1,True
7.0,2005,1,1,37334,2,1,True
7.0,2005,0,1,1538443,75,2,True
7.0,2005,0,1,10169,0,1,True
7.0,2005,1,1,1067,0,0,True
8.0,2005,1,1,130,0,0,True
8.0,2005,0,2,621,0,0,True
8.0,2005,1,1,0,0,0,True
8.0,2005,0,1,2740,0,0,True
8.0,2005,1,1,1110,0,0,True
9.0,2005,1,1,207,0,0,True
9.0,2005,1,1,111,0,0,True
9.0,2005,1,1,21035,1,1,True
9.0,2005,1,1,2,0,0,True
10.0,2005,1,1,755,0,0,True
10.0,2005,1,1,1396,0,0,True
10.0,2005,0,1,22142,1,1,True
10.0,2005,1,1,0,0,0,True
10.0,2005,1,1,4571,0,0,True
10.0,2005,0,2,103747,6,1,True
10.0,2005,1,1,2646,0,0,True
10.0,2005,0,1,1252,0,0,True
10.0,2005,0,1,187604,9,1,True
10.0,2005,1,1,58834,3,1,True
10.0,2005,0,1,1828,0,0,True
10.0,2005,1,1,465,0,0,True
11.0,2005,0,1,47849,3,1,True
11.0,2005,1,1,23271,1,1,True
11.0,2005,0,2,19917,1,1,True
11.0,2005,0,2,342827,24,1,True
11.0,2005,0,1,129,0,0,True
11.0,2005,0,1,93477,6,1,True
11.0,2005,0,1,72466,3,1,True
11.0,2005,1,1,119924,7,1,True
11.0,2005,0,1,12732,0,1,True
11.0,2005,1,1,279,0,0,True
12.0,2005,0,1,279,0,0,True
12.0,2005,0,2,47165,2,1,True
12.0,2005,0,2,10166,0,1,True
12.0,2005,0,2,122923,9,1,True
12.0,2005,0,2,110051,6,1,True
12.0,2005,0,1,36154,1,1,True
12.0,2005,1,1,24031,1,1,True
13.0,2005,1,1,1392,0,0,True
14.0,2005,1,1,5,0,0,True
14.0,2005,0,2,16174,0,1,True
14.0,2005,1,1,55,0,0,True
14.0,2005,0,1,26,0,0,True
14.0,2005,0,1,65,0,0,True
14.0,2005,1,1,33886,2,1,True
14.0,2005,0,1,3,0,0,True
15.0,2005,0,1,63,0,0,True
15.0,2005,1,1,0,0,0,True
15.0,2005,1,1,4205,0,0,True
15.0,2005,0,2,12689,0,1,True
